"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.040745761,0.08002609,0.060952999,0.044085663,0.114260808,0.015169183,0.16062586,0.152880728,0.125055373,0.124883838,0.183911264,0.068557993,0.079424545,0.041938301,0.017777359,0.022843869,0.002686359,0.108121939,-0.051401868,0.050238244,-0.009365919,0.040745761,0.005694029,0.199153632,-0.052083962,0.204111964,0.061255008,-0.040497981,-0.009365919,0.072795391,0.010818816,0.070918009,-0.090304643,0.060317557,0.002686359,0.04205782,-0.03392262,0.042240426,0.066054404,0.036158156,0.019282956,0.044871766,0.051947005,0.013089813,-0.017435171,0.041596748,0.024780225
"method getString of class AbstractWindowedCursor has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractWindowedCursor has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.046414543,0.040580396,-0.0017847,-0.065295056,0.066358939,-0.049778577,0.073090538,0.068830423,0.07815367,-0.01513718,0.086584434,0.071446009,0.092343874,-0.032340616,0.062934637,0.029653635,-0.022052621,0.065781787,-0.03925027,-0.018461075,-0.034477059,-0.046414543,-0.039062969,0.102313668,-0.068383411,0.143092349,0.061984442,-0.05455225,-0.034477059,0.034983531,0.014789023,0.040972952,-0.041285507,-0.010796122,-0.022052621,-0.0080842,-0.023295779,0.010742764,0.087039463,-1.90E-05,0.037046056,-0.026848974,-0.091274403,-0.030938964,-0.066786699,0.042269267,0.014877698
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractWindowedCursor has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.094295204,-0.011141798,-0.049062092,-0.09070465,0.037273001,0.095077872,0.070094772,0.144253224,0.064784326,0.033883505,0.132598341,0.061079443,0.059692115,-0.007119032,0.028864872,0.047018901,0.061964884,0.054402854,-0.065376595,-0.020195551,-0.007762121,-0.094295204,-0.028081579,0.150173768,-0.063559204,0.186922505,0.047772467,0.022216525,-0.007762121,0.00799455,-0.017216314,0.07136298,-0.069962993,0.059687257,0.061964884,0.056453191,-0.034741715,0.101883397,0.001175557,-0.008348381,-0.002614805,-0.034107186,0.030963315,-0.003301539,-0.03316921,0.058820527,0.018768122
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractWindowedCursor has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.841401696,0.838268042,0.827021182,0.839245379,0.872839749,0.898319423,0.85153091,0.886879086,0.861043811,0.845722675,0.839051902,0.9011724,0.910759926,0.845141232,0.884803534,0.904383898,0.88924849,0.875748098,0.912528098,0.886287808,0.846369326,0.841401696,0.851236463,0.891135633,0.880225599,0.909950972,0.875713706,0.877193511,0.846369326,0.835330129,0.841080308,0.843442321,0.879490197,0.843264043,0.88924849,0.88502723,0.889320731,0.890317142,0.838166058,0.891651034,0.864247382,0.887188554,0.893372595,0.8827371,0.884891927,0.875024796,0.893822968
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractWindowedCursor has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.44226024,0.42103463,0.42376658,0.31871587,0.38144663,0.3538047,0.35446548,0.25776106,0.30795488,0.35134092,0.32187098,0.25669622,0.28129035,0.32684645,0.338611,0.3015193,0.3802538,0.38028356,0.32838482,0.24330123,0.40268737,0.44226024,0.33447778,0.27808902,0.30957085,0.42288205,0.37307817,0.33671868,0.40268737,0.31311643,0.43017232,0.40885895,0.30501005,0.39538866,0.3802538,0.23860572,0.32103476,0.34474793,0.30619067,0.23510788,0.33475205,0.3540039,0.25334918,0.34737778,0.30438012,0.38112453,0.233956
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractWindowedCursor has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.039515793,0.071873792,0.075533509,0.019926818,0.068571389,-0.008054482,0.150314182,0.150919244,0.081801057,0.075164631,0.150931895,0.065694436,0.075770885,0.007203855,-0.013297953,-0.004775073,0.003728384,0.077511005,-0.062167086,0.033466093,-0.015705302,-0.039515793,-0.015950892,0.176567376,-0.064752869,0.20541814,0.053951051,-0.061568577,-0.015705302,0.08492589,0.019863702,0.079700485,-0.128248274,0.03633089,0.003728384,0.036710266,-0.052261665,0.047706403,0.037639651,0.004902823,0.036593042,0.043946929,0.01361791,-0.039492786,-0.049062654,0.066708699,-0.00587119
"method getString of class CursorWindow has parameters row int : The zero-based row index.
Value is 0 or greater |||
column int : The zero-based column index.
Value is 0 or greater ||| returns String The value of the field as a string. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWindow has parameters row int : The zero-based row index.
Value is 0 or greater |||
column int : The zero-based column index.
Value is 0 or greater ||| returns String The value of the field as a string. |||",0.037692416,0.118466318,0.053746946,-0.050699525,0.051723614,0.016979359,0.120050646,0.143929794,0.136851758,0.058822192,0.148911268,0.110003047,0.156121969,0.011364117,0.065897681,0.064163059,0.037664846,0.128950596,-0.007384522,0.026378673,-0.022832707,0.037692416,0.015729867,0.168722719,-0.027159486,0.225562394,0.045530118,0.002171963,-0.022832707,0.074084751,0.066344962,0.079682335,0.046010561,0.054520313,0.037664846,0.027145788,0.005032886,0.060826972,0.103878275,0.035285987,0.039323032,0.012716297,-0.063843086,0.035827633,0.02115003,0.064800188,0.063495457
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWindow has parameters row int : The zero-based row index.
Value is 0 or greater |||
column int : The zero-based column index.
Value is 0 or greater ||| returns String The value of the field as a string. |||",-0.038280673,0.045075566,-0.041052908,-0.076344088,0.075334027,0.077260666,0.067681767,0.151917711,0.075325817,0.038552605,0.129688025,0.080851689,0.046570782,0.007620091,0.067166038,0.074841194,0.071664751,0.032879274,-0.062183827,-0.017475327,0.008603389,-0.038280673,-0.005785825,0.136169463,-0.042228494,0.176701292,0.024736948,0.028114021,0.008603389,0.021739945,-0.006486263,0.083814666,-0.047551256,0.07585156,0.071664751,0.096775129,-0.034386124,0.096197553,-0.000510911,0.027357176,0.009578409,-2.45E-05,0.026468065,0.050861709,-0.017640658,0.064881936,0.008399462
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWindow has parameters row int : The zero-based row index.
Value is 0 or greater |||
column int : The zero-based column index.
Value is 0 or greater ||| returns String The value of the field as a string. |||",0.828421235,0.825423479,0.813134491,0.824409604,0.861731827,0.88691783,0.83829385,0.877023101,0.847260654,0.833935082,0.825253606,0.891871572,0.902594328,0.832958281,0.875103176,0.896004319,0.880760431,0.862234652,0.904383242,0.875205278,0.832960963,0.828421235,0.839514077,0.877377987,0.869297504,0.900631845,0.865127623,0.865148485,0.832960963,0.822732985,0.829828739,0.831192374,0.871159732,0.830814004,0.880760431,0.873686969,0.881819308,0.882822216,0.824482858,0.880335391,0.852962792,0.87741518,0.882048011,0.873458028,0.874391079,0.866354287,0.885974169
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWindow has parameters row int : The zero-based row index.
Value is 0 or greater |||
column int : The zero-based column index.
Value is 0 or greater ||| returns String The value of the field as a string. |||",0.5930745,0.5723753,0.5915126,0.54863155,0.556804,0.5310966,0.5498619,0.5095731,0.5283348,0.53159297,0.5304978,0.4961778,0.5019062,0.5156653,0.5095821,0.5115784,0.5318787,0.56210953,0.52076495,0.48348278,0.5601393,0.5930745,0.53022057,0.50703955,0.53996605,0.5632719,0.5555453,0.53974646,0.5601393,0.5379781,0.58950615,0.58165437,0.5063822,0.57005584,0.5318787,0.5159595,0.5171152,0.5207427,0.53308266,0.48146284,0.5500025,0.51486504,0.49322563,0.5597324,0.5454088,0.55568975,0.47256365
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWindow has parameters row int : The zero-based row index.
Value is 0 or greater |||
column int : The zero-based column index.
Value is 0 or greater ||| returns String The value of the field as a string. |||",0.001666762,0.10394682,0.073611826,0.020024156,0.1040546,0.00539828,0.134077281,0.169975609,0.129242957,0.071818732,0.161576226,0.088830397,0.075905293,0.033290051,0.049626291,0.010089454,0.029924685,0.064087667,-0.042520165,0.00840083,-0.028805984,0.001666762,0.009996673,0.190336794,-0.0914606,0.174820334,0.033567611,-0.093875811,-0.028805984,0.04230326,-0.001161618,0.115852013,-0.062991455,0.047277264,0.029924685,0.052761123,-0.027073596,0.06359306,0.031992685,0.042820904,0.03830751,0.06897027,0.017122906,0.015332598,-0.013110159,0.056965388,0.003618605
"method getString of class CursorWrapper has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWrapper has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.023827253,0.073957287,-0.005473489,-0.068069227,0.046201896,-0.042045772,0.056887403,0.04728058,0.095352769,0.001086474,0.079351425,0.061880909,0.114384174,-0.009941277,0.041932605,0.013119899,0.027739724,0.048231367,-0.014569152,-0.04463983,-0.041863784,-0.023827253,-0.00907136,0.092239149,-0.055810511,0.157878309,0.012590863,-0.05436765,-0.041863784,0.031709362,0.018673683,0.036613654,-0.006238222,-0.001445737,0.027739724,-0.011215171,0.011793373,0.043005817,0.074510686,-0.020401139,0.004384473,-0.048066936,-0.098265849,-0.027388144,-0.070411749,0.018519513,0.014988929
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWrapper has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.072753802,0.009338805,-0.072801784,-0.082321264,0.031246522,0.088394657,0.060701501,0.135209367,0.044117704,0.007943937,0.119504832,0.06052319,0.054125465,-0.003671803,0.03720811,0.057421479,0.067032017,0.046574853,-0.063170575,-0.022302683,-0.017580042,-0.072753802,-0.008517601,0.121483058,-0.074494444,0.163982302,0.013196127,0.012706107,-0.017580042,0.003674788,-0.050044868,0.029076189,-0.085668616,0.081264831,0.067032017,0.064519994,-0.032099403,0.086942315,0.011069067,0.001307245,-0.033238791,-0.044826463,0.013666737,0.022065118,-0.044312473,0.013809316,-0.003537558
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWrapper has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.842037618,0.838744998,0.826834559,0.839318931,0.873796344,0.898301244,0.851417959,0.887196004,0.860750556,0.846262991,0.838929951,0.901204169,0.911645293,0.84554553,0.884857655,0.904326379,0.889815569,0.87575388,0.911659122,0.887009025,0.8472175,0.842037618,0.852336466,0.890624881,0.881677032,0.910994709,0.877458513,0.877229333,0.8472175,0.83602953,0.841820598,0.843450725,0.880865514,0.843700528,0.889815569,0.885537565,0.889589727,0.890724957,0.838715851,0.8916803,0.864934564,0.887635946,0.89426434,0.884128571,0.884981155,0.876139581,0.894353926
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWrapper has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.44685557,0.42720562,0.42708808,0.3404151,0.39375824,0.3454871,0.3614807,0.25939035,0.3209616,0.36671966,0.3270835,0.2616131,0.30128443,0.3391805,0.34547442,0.3081958,0.38768864,0.3789614,0.31644037,0.25330985,0.40610456,0.44685557,0.35749653,0.28306034,0.32981345,0.42873865,0.40439984,0.35486272,0.40610456,0.3497878,0.4417955,0.4115578,0.30569637,0.39624462,0.38768864,0.25297624,0.33539614,0.3564792,0.31009978,0.24323773,0.33912987,0.35890943,0.2672727,0.34603813,0.32661462,0.3775634,0.24384196
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class CursorWrapper has parameters columnIndex int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.035453457,0.098754793,0.011488836,0.016345404,0.054347619,0.008877863,0.140484154,0.140330583,0.095367514,0.066731513,0.154304773,0.071929298,0.088952519,0.027234381,-0.017958803,0.015221365,0.047705755,0.073371187,-0.060614642,0.0097163,-0.030633472,-0.035453457,0.004874652,0.186389998,-0.101520538,0.197270334,0.031630259,-0.073075347,-0.030633472,0.062195569,0.004304431,0.068719342,-0.077540115,0.05151365,0.047705755,0.044388287,-0.037246741,0.070756137,0.051718276,0.019293085,0.020630926,0.027522251,0.040794447,0.004863061,-0.045475498,0.020262264,-0.009555209
"method getString of class MatrixCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MatrixCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.037629213,0.076619677,-0.015443131,-0.09699215,0.038894553,-0.047519475,0.042312413,0.017607633,0.077067629,-0.026529199,0.037160367,0.035144489,0.064636067,-0.029107235,0.050411478,0.03456676,-0.007791461,0.046145648,-0.026873393,-0.032153554,-0.03993969,-0.037629213,-0.054506056,0.077367492,-0.060997896,0.171836048,0.013436779,-0.044012249,-0.03993969,0.034677438,-0.026905851,0.045925431,-0.006503616,-0.037164677,-0.007791461,0.005766997,-0.036837753,0.023654504,0.08604084,0.026029199,-0.013770845,-0.03513784,-0.132982165,-0.028240902,-0.048475541,0.005159433,0.043028481
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MatrixCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.048408963,0.010840012,-0.046500511,-0.059313521,0.024731191,0.10632503,0.034438476,0.097225852,0.079391353,0.034739695,0.095397584,0.078165367,0.051805075,-0.015800722,0.027677502,0.04101539,0.052688699,0.048841327,-0.087137669,0.010186825,-0.000403352,-0.048408963,-0.027552985,0.139719248,-0.04617653,0.175844088,0.005510367,0.017665904,-0.000403352,0.016525326,-0.019298863,0.04514705,-0.031652112,0.075477973,0.052688699,0.046092361,-0.029257996,0.072574735,0.000308458,-0.025916696,-0.000307832,-0.021922041,0.030699439,0.04195375,-0.02894986,0.027243083,0.005608274
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MatrixCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.840242088,0.837374926,0.825834394,0.838261008,0.871712565,0.897075534,0.850617528,0.885647178,0.85932368,0.844472289,0.837552667,0.900735021,0.911029994,0.843871832,0.883985996,0.904339075,0.88865608,0.873805642,0.911699593,0.885348022,0.84527868,0.840242088,0.850158691,0.889705181,0.879794836,0.909529746,0.874911904,0.875782311,0.84527868,0.834258258,0.840106606,0.84230119,0.879622817,0.841835976,0.88865608,0.883960605,0.887725115,0.889761031,0.837073386,0.890359819,0.862743735,0.886107862,0.892077982,0.882336259,0.883795202,0.873983502,0.892682374
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MatrixCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.46111086,0.44302315,0.45692602,0.3633074,0.40009683,0.35555452,0.38137332,0.26741877,0.3172219,0.3740088,0.33014798,0.27738607,0.3064495,0.3377816,0.3487332,0.32042474,0.39087385,0.40762398,0.36379567,0.26065534,0.42306522,0.46111086,0.3507981,0.2931671,0.322532,0.43812203,0.41265535,0.35653734,0.42306522,0.35964534,0.45429397,0.42261684,0.3217896,0.4074969,0.39087385,0.25809312,0.34594697,0.34851006,0.30895764,0.26511908,0.35059777,0.35922316,0.27279186,0.36819252,0.3428372,0.39040333,0.25300282
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MatrixCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.018362496,0.070763737,0.053895123,0.056470245,0.074164152,0.042012934,0.128955573,0.129458144,0.167143106,0.126885951,0.160919845,0.086973026,0.086000852,0.013109954,-0.007507051,-0.008073969,0.008382112,0.093740873,-0.05973617,0.065680936,0.011630232,0.018362496,0.00073708,0.185875013,-0.061841697,0.182627678,0.04928951,-0.081563219,0.011630232,0.095454849,0.038999595,0.07667283,-0.041600503,0.072257139,0.008382112,0.012878263,-0.02109357,0.052273531,0.052710198,0.018320173,0.042070031,0.055883966,0.073738597,0.001665841,-0.013844138,0.025466707,0.019678708
"method getString of class MergeCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MergeCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.064613909,0.06350629,-0.028825557,-0.082472116,0.036759146,-0.052675802,0.047991812,0.092738099,0.043940544,-0.018576447,0.054770865,0.057192065,0.083413512,-0.050822828,0.047015466,0.054652002,-0.011273388,0.121250838,-0.008116208,-0.02154612,-0.056773536,-0.064613909,-0.050708652,0.020602936,-0.10203255,0.122174807,0.018296795,-0.030434806,-0.056773536,0.011833844,-0.001079299,0.003885685,-0.026599132,-0.03233362,-0.011273388,0.008664517,-0.043709621,-0.010993501,0.055159323,0.032786243,0.051828869,-0.019465011,-0.074271068,-0.052981738,-0.04592479,0.003847339,0.028879389
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MergeCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.062040776,0.025385723,-0.031486705,-0.040937573,0.053528938,0.099918842,0.059311289,0.137414128,0.089581251,0.064263552,0.113027379,0.07196328,0.036975835,-0.000340145,0.053058572,0.073416553,0.05366537,0.040833738,-0.024021737,-0.027941639,-0.005461855,-0.062040776,-0.034041427,0.075150885,-0.046630841,0.148533434,0.032548189,0.022984127,-0.005461855,0.047285415,0.003284927,0.058590796,0.018731236,0.104955725,0.05366537,0.102426499,-0.045011893,0.063821785,0.030493658,-0.005479086,-0.024702707,0.048672352,0.057885889,0.072110489,0.038485251,0.034455549,-0.007756999
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MergeCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.84057039,0.837827444,0.826227427,0.838730097,0.871985197,0.897726715,0.851185203,0.886266112,0.860018075,0.845174372,0.837944806,0.90118885,0.911530077,0.844356537,0.884303689,0.905074358,0.889074385,0.874641716,0.912625134,0.886105359,0.84558928,0.84057039,0.850601256,0.890296638,0.880380213,0.909652233,0.875218451,0.87658751,0.84558928,0.83472681,0.840449512,0.842687726,0.879869282,0.842194974,0.889074385,0.884400308,0.88826263,0.890003681,0.83738488,0.89102304,0.863164842,0.886355221,0.892795384,0.882903278,0.884263158,0.874366224,0.89363277
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
